Category,Quantity,References,Value,LCSC Part #,Footprint
Integrated Circuits,1,U15,Z84C0020FEC,,QFP44-10X10
Integrated Circuits,1,U16,74LVC4245APW_118,C6091,SOP65P640X110-24N
Integrated Circuits,1,U17,SN74LVC1G08DBVR,C12492,SOT95P280X145-5N
Integrated Circuits,1,U19,SK22D02L4,,SK22D02L4_2
Integrated Circuits,1,U21,SX7M2.000A10F20TNN,,CB3LV3C1M5440
Integrated Circuits,1,U22,74LS08,,NULL
Integrated Circuits,2,"U23,U41",PCA9306DCUR,,SOP50P310X90-8N
Integrated Circuits,1,U24,74LVC1G04GS_132,,74LVC1G3157GS132
Integrated Circuits,1,U25,74LVC1G32GV,,SOT95P275X110-5N
Integrated Circuits,2,"U26,U27",74LVC1G74DP_125,,SOP65P400X110-8N
Integrated Circuits,1,U28,74LVC1G139DCUTG4,C153798,SOP50P310X90-8N
Integrated Circuits,1,U29,"74LVC4245APW,118",C6091,SOP65P640X110-24N
Integrated Circuits,1,U30,SK12D07VG3,,SK12D07VG3
Integrated Circuits,1,U31,CH376S,,SOP28
Integrated Circuits,1,U32,AY38912,,DIL286
Integrated Circuits,1,U33,74LVC3G04DP_125,,SOP65P400X110-8N
Integrated Circuits,1,U34,TMUX1247DCKR,,SOT65P210X110-6N
Integrated Circuits,1,U35,LM4871MM/NOPB,C47089164,SOP65P490X110-8N
Integrated Circuits,1,U36,SN76489,,DIL16
Integrated Circuits,1,U37,TXS0102VDCUR,,SOP50P310X90-8N
Integrated Circuits,1,U38,SM231508-1,,SM2315081
Integrated Circuits,1,U40,SN74LVC08ADE4,C468253,SOIC127P600X175-14N
Diodes,11,"D1,D6,D11,D14,D15,D16,D27,D28,D29,D30,D31",TVS3V3L4U_E6327,C132185,SOT95P250X110-6N
Diodes,7,"D2,D3,D4,D21,D22,D25,D26",PESD5V0L1BA,C2827691,SOD2512X110N
Diodes,5,"D5,D7,D9,D13,D17",KT-0603R,C2286,LEDC1608X80N
Diodes,2,"D8,D10",SS54B-HF,,DIOM5235X244N
Diodes,2,"D12,D23",BL-HGE36G-AV-TRB,C165982,LEDC1610X50N
Diodes,3,"D18,D19,D24",PESD3V3L1BA,C2687129,SOD2512X110N
Diodes,1,D32,1N4007,,DO41
Diodes,1,D33,B5819W-TP,,SOD3716X135N
Miscellaneous,3,"F1,F2,F4",JK-NSMD300L,C516068,1206L075SLYR
Miscellaneous,1,F3,MF-NSMF050-2,C89655,FUSC3216X85N
Miscellaneous,1,J1,12401598E42A,,NULL
Miscellaneous,1,J2,USBC24SGHZSMT,,VALCON_USBC24SGHZSMT
Miscellaneous,1,J3,FC68148S,,FC68148S_2
Miscellaneous,3,"J4,J16,J19",AU-Y1005-R,,CON4_1X4_USB_AM
Miscellaneous,2,"J5,J15",CONN-H4,,CONN-SIL4
Miscellaneous,5,"J6,J7,J8,J17,J24",CONN-H2,,CONN-SIL2
Miscellaneous,1,J9,10073456-061LF,,CON50_2X25_US_FCI
Miscellaneous,1,J10,DSPCONN-DIL40,,DSPCONN-DIL40
Miscellaneous,3,"J11,J12,J13",10129382-912001BLF,,CON12_2X6_R2_FCI
Miscellaneous,1,J14,47151-1061,,471511061
Miscellaneous,2,"J18,J21",SSW-104-22-S-D-RA,,SSW-104-XX-YYY-D-RA
Miscellaneous,1,J20,SJ23574ASMTTR,,CUI_SJ23574ASMTTR
Miscellaneous,3,"J22,J23,J26",ARDUINO-SIL4,,ARDUINO-SIL4
Miscellaneous,1,J25,KCD1 SW,,CONN-SIL3
Miscellaneous,2,"L1,L2",SRR1260-330M,C840528,SRR1260-150M
Miscellaneous,1,X1,12MHz,C14871,ABLS
Miscellaneous,1,X2,ABLS2-6,C596830,ABLS
